"","image","plant","surface","diameter","convexHull","das","tr"
"203","TRmock_PL15_PA_DAT5.tif",2,2.3597364,2.2230947,0.46577963,5,"mock"
"204","TRmock_PL15_PA_DAT5.tif",3,3.0630116,2.729702,0.376869,5,"mock"
"205","TRmock_PL15_PA_DAT5.tif",4,3.3213332,3.0820806,0.02463065,5,"mock"
"206","TRmock_PL15_PA_DAT6.tif",0,4.011993,3.3493223,0.70748043,6,"mock"
"207","TRmock_PL15_PA_DAT6.tif",1,5.6023717,4.4118505,0.42893377,6,"mock"
"208","TRmock_PL15_PA_DAT6.tif",2,2.8359292,2.6366744,0.82362497,6,"mock"
"209","TRmock_PL15_PA_DAT6.tif",3,3.574448,3.249483,0.3496351,6,"mock"
"210","TRmock_PL15_PA_DAT6.tif",4,3.6655617,3.4106417,0.06668299,6,"mock"
"211","TRmock_PL15_PA_DAT7.tif",0,5.338844,4.165909,0.46958438,7,"mock"
"212","TRmock_PL15_PA_DAT7.tif",1,7.1843405,4.737777,1.125801,7,"mock"
"213","TRmock_PL15_PA_DAT7.tif",2,3.8814301,3.0825028,1.2353373,7,"mock"
"214","TRmock_PL15_PA_DAT7.tif",3,4.6698112,3.6447403,0.5380696,7,"mock"
"215","TRmock_PL15_PA_DAT7.tif",4,4.9161177,3.8791656,0.76955765,7,"mock"
"216","TRmock_PL15_PA_DAT8.tif",0,6.773229,4.6692324,0.35384032,8,"mock"
"217","TRmock_PL15_PA_DAT8.tif",1,8.832191,5.047108,1.333059,8,"mock"
"218","TRmock_PL15_PA_DAT8.tif",2,4.774942,3.545228,1.929401,8,"mock"
"219","TRmock_PL15_PA_DAT8.tif",3,5.8817196,3.9679458,0.9736116,8,"mock"
"220","TRmock_PL15_PA_DAT8.tif",4,6.5625668,4.596008,1.5150855,8,"mock"
"221","TRmock_PL15_PA_DAT9.tif",0,8.58228,5.217478,0.52124864,9,"mock"
"222","TRmock_PL15_PA_DAT9.tif",1,11.754428,6.3465047,3.4552999,9,"mock"
